step training_loss training_accuracy
0 2.29851 0.160156
1 2.29469 0.171875
2 2.2965 0.152344
3 2.298 0.101562
4 2.29708 0.0742188
5 2.29248 0.117188
6 2.28864 0.113281
7 2.28664 0.140625
8 2.2914 0.132812
9 2.28973 0.140625
10 2.28621 0.09375
11 2.26681 0.128906
12 2.2707 0.136719
13 2.27874 0.078125
14 2.28026 0.0664062
15 2.2575 0.125
16 2.26264 0.0976562
17 2.26358 0.101562
18 2.22378 0.113281
19 2.22681 0.117188
20 2.25152 0.136719
21 2.24359 0.09375
22 2.23739 0.0976562
23 2.20634 0.136719
24 2.22958 0.136719
25 2.22956 0.15625
26 2.19351 0.203125
27 2.19012 0.148438
28 2.22121 0.175781
29 2.20082 0.140625
30 2.16646 0.3125
31 2.17113 0.222656
32 2.15909 0.238281
33 2.15277 0.28125
34 2.10395 0.292969
35 2.11179 0.1875
36 2.12668 0.253906
37 2.15261 0.277344
38 2.1394 0.28125
39 2.07904 0.34375
40 2.07917 0.3125
41 2.05058 0.300781
42 2.00339 0.316406
43 2.05061 0.292969
44 2.03752 0.351562
45 1.99215 0.359375
46 2.06303 0.3125
47 2.02401 0.277344
48 2.01019 0.367188
49 2.02564 0.375
50 1.98337 0.371094
51 1.90336 0.421875
52 2.0017 0.347656
53 1.88147 0.359375
54 1.8866 0.40625
55 1.88758 0.4375
56 1.82438 0.414062
57 1.78587 0.507812
58 1.78574 0.507812
59 1.83653 0.472656
60 1.83843 0.421875
61 1.82821 0.410156
62 1.81882 0.472656
63 1.74784 0.484375
64 1.86511 0.449219
65 1.76432 0.390625
66 1.64778 0.480469
67 1.66408 0.457031
68 1.85469 0.378906
69 1.85973 0.375
70 1.67798 0.496094
71 1.74442 0.421875
72 1.76348 0.445312
73 1.72804 0.464844
74 1.61104 0.519531
75 1.62482 0.457031
76 1.73842 0.4375
77 1.71873 0.441406
78 1.54299 0.542969
79 1.58949 0.570312
80 1.53108 0.535156
81 1.54503 0.5625
82 1.50162 0.574219
83 1.56141 0.515625
84 1.5806 0.472656
85 1.55546 0.527344
86 1.64502 0.488281
87 1.48832 0.5
88 1.54275 0.539062
89 1.48893 0.582031
90 1.45632 0.578125
91 1.45283 0.542969
92 1.37648 0.59375
93 1.44745 0.480469
94 1.43742 0.558594
95 1.30523 0.617188
96 1.4279 0.542969
97 1.50878 0.53125
98 1.41779 0.53125
99 1.46302 0.460938
100 1.43471 0.519531
101 1.3769 0.523438
102 1.2483 0.621094
103 1.45053 0.488281
104 1.3481 0.582031
105 1.30567 0.574219
106 1.51405 0.480469
107 1.40725 0.515625
108 1.28912 0.566406
109 1.27552 0.574219
110 1.34935 0.558594
111 1.33297 0.492188
112 1.24871 0.578125
113 1.19092 0.597656
114 1.31619 0.585938
115 1.34294 0.542969
116 1.34983 0.570312
117 1.17415 0.621094
